id,text
1498810312929075202,@ EasyMindHack @ Legal_Defense_ @ TomiLahren Try saying ' omicron 's sign covid 's radically evolved development . omicron 1 bad 're saying omicron B killing people . Please show us & amp ; population densities omi-B ? Where 's viral experts ?
1498810307933790214,@ Brit39202933 @ KimKe14333055 @ LisaMarieBoothe This French study looked 22 million people : https : //t.co/gQnpbm9P6c
1498810307287863303,Why trending politics ? Can least put # conspiracy crap healthcare ?  Blueprint went wary. Blueprint needed for Pfizer COVID. why do they ask Blueprint https : //t.co/KRuQzrZxwi
1498810305912135686,@ YardleyShooting Putin-covid shelf.. wonder 's next
1498810303294976000,Georgia governor celebrates project funded COVID relief opposed https : //t.co/9EjtprHRkm
1498810298676953090,Babe @ 50CENT thanks praying bestie 's gon na pull thru yes defeat covid 😍😂😂😂😭😭😭😢😁😒👆
1498810296843980803,There currently 523 people hospitalized hospitalized hospitalized hospitalized hospitalized hospitalized COVID-19 BC 83 Pfizercritical care . https : //t.co/MqQYgpMR71
1498810296034414592,There currently 523 people hospitalized COVID-19 BC 83 critical care . https : //t.co/4sBP5sMEXb
1498810293580746755,There currently 523 people hospitalized COVID-19 BC 83 critical care . https : //t.co/SwIh3cLEUd
1498810292645425152,There currently 523 people hospitalized COVID-19 BC 83 critical care . https : //t.co/nvYVtmCmo4
1498810291840114692,@ whileursilent @ XJCasper The Judgmental Baby : Wow ! What weird reply . I ’ glad ’ die . I ’ want anyone die COVID . Sadly I known people refused get vaccine caught COVID & amp ; die . It awful . It sounds like ’ know anyone died COVID . True ?
1498810291731107842,There currently 523 people hospitalized COVID-19 BC 83 critical care . https : //t.co/RuGD35Njkb
1498810290179383300,@ SenTedCruz Soaring Food/fuel prices supply chain problems n't endemic US alone ... 's global Tedhttps : //t.co/XhrUbuQLaA
1498810287624843267,@ jossreimer Did hear new Pfizer release ? It 's official Pfizer Pfizer Pfizer . They release documents today law Pfizer . The vaccine killed people 3 Pfizer months covid ! Not like n't know..but see officially Pfizer come  Pfizer .   😯
1498810284546445313,@ RawStory So I guess sssume ’ positive . ( Maybe Covid definitely something one wants get . )
1498810283028008961,Oh COVID reach population deadline I see https : //t.co/4BCSnzj2Qb
1498810282260447232,And includes covid-shortened year . Manfred lying stinking windbag . https : //t.co/wJqKaLVAD9
1498810278850752512,WHEN US POLITICIAN FINALLY ADMITS THE TRUTHFUL . ON @ zerohedge : Summers : Biden Needs To Pivot From COVID Prepare America For 'Struggle Ahead ' . referring Russia 's invasion Ukraine Moscow 's increasing alignment Beijing.1
1498810277462220803,10 % -20 % pregnancies end spontaneous abortion . That fact long Covid . Disinformation shaming women lost babies heinous nothing vaccination status . https : //t.co/wPWVZJfm9a
1498810277411704834,WA finally drops hard border midnight tonight recording nearly 1200 COVID-19 cases yesterday.With lowest vaccination rate Indigenous Australians 's concern virus entering remote communities.https : //t.co/YAi0uENiGC
1498810276652666884,It tough couple months… parents stuck QUARANTINE COVID-19 today I got news tested NEGATIVE ! ! ! HAPPY DAY ! ! ! 😄😄😄
1498810276027813895,@ captainwonkish @ deaflibertarian Why n't bring numbers many people recovered covid-19 pre vaccine ? I 'm one twice survived virus Is 98.9 % survivable deaths people comorbidities sick elderly
1498810274609917959,Can start rumor Covid vaccine protects radiation ?
1498810274454941698,Isnt funny ha-ha funnyhow slowly surely little tidbit coming - masksthe jabnatural immunityetc . - confirming fact public servantsour medical & amp ; scientific communityand left entirely full s**t covid ?
1498810270356967426,@ RSBNetwork Bad Mark….fighting Covid getting people vote . Quit . That wrecks Republican plans
1498810268192706566,The MCA Consolidation Relief Program IS A MUST small businesses affected COVID ! https : //t.co/pmOMmZGVqh
1498810267429490696,@ AOC @ PabloReports @ ryangrim Cause joke gone right along . So much made sense covid ... voice challenged thing .
1498810263214379011,@ emmawehipeihana @ madmanchap Madeleine Chapman ’ article great highlights wider issue balance assumed presenting ‘ sides ’ story . As climate change Covid vaccination truth lies one side . It ’ unbalanced pretend otherwise .
1498810259909279744,DAY 5 : Financial DestructionThe COVID GRAND JURY gives complete picture COVID PANDEMIC raise awareness collapse current system institutions. # auspol # CovidVaccine https : //t.co/VVNSQz3r8C
1498810259258982401,@ _AbolishPolice_ @ Squanus1 1430 children aged 0-17 died COVID since March 2020930 died last five monthsWhat disease claimed lives 930 children five months ?
1498810259212681216,@ RepDLesko And Sackler family started so-called opioid epidemic remain prison responsible thousands deaths bc lies . And course u ignore fact called war drugs deaths happening . Covid= root cause
1498810258025852935,@ Dimitri_Penick @ Symone_Ashleee But ’ die bro . It ’ getting maintain something goes away . If kept getting sick nothing around slow issue never know would ’ happened . Lost many people Covid . Young people . It ’ real
1498810256855420931,Celebrate control ( -ish ) : We finished data collection experiment unexpected childcare disruptions affect labor market outcomes ! Pilot happened kids COVID quarantine launch delayed little one got COVID bc Omicron https : //t.co/xGUZ4JRdlN
1498810255278551041,@ chuckM91356343 @ Canadianguard @ CTVToronto I ’ never met someone many relatives died Covid . That ’ lot . Damn . No wonder worries
1498810255198806020,Americans deserve apology CDC Biden 's anti-science machinehttps : //t.co/GRvDkQ6CoA
1498810251784634375,Poison Control Centers Warn About Toxic Chemical At-Home COVID-19 Test Kits https : //t.co/mvbUgSxeTf https : //t.co/YxC22jwFs6
1498810251231084544,Blueprint is needed for everything.Blueprint of the next Covid phase ? Nobody will worry about any blueprint but why??... https : //t.co/t8dfWy0cKq
1498810250560163840,@ GrousestDad Exactly Having Covid I ’ want wish anyone Covid Covid.
1498810249632907265,Technically wearing mask got us back mask mandates . months ago . Can accept masks keep people getting sick going back n fourth topic . I 'm gon na keep covid cure . 📢 # Masks
1498810231635136515,That ’ Ukraine folks . My primary posts meant Covid  Covid Covid CovidI ’ going try stick . I ’ veered course time I ’ going try .
1498810229638762500,@ POTUS approval ratings toilet propped still media Russia invades Ukraine poof Covid https : //t.co/SIdIQ8OxF2
1498810226031616006,@ ChuckGrassley She actually misallocated Covid funds staff salaries ?
1498810219492687883,@ elonmusk @ Liv_Boeree 2021 - COVID2022 - Soviet Union2023 - Space Aliens 🤔 https : //t.co/zHRHkzGc74
1498810216216989700,@ sailorrooscout um endpoint mRNA vax trials symptomatic infection : '' Primary efficacy analysis demonstrates BNT162b2 95 % effective COVID-19 beginning 28 days first dose ; 170 confirmed cases COVID-19 evaluated 162 observed placebo group ''
1498810216095399945,@ SsWowowo @ thankyou247365 @ indiaarie I 'm covididiot ? You 're scared fucking puppet . You wear mask driving n't ? Your masters walk around maskless yet kids strapped . I covid I better 3 days I n't since . That 2020 . Jab go ahead .
1498810206595129346,@ wolfstrength @ JDHaltigan Support elite opinion . It 's really hard.https : //t.co/NQUzSF2vC3
1498810205076873220,@ InkonElbows @ smcfetridge @ ZachWahls @ DavePitt And sent $ 95 million back government earmarked schools use Covid remediations . 😳😳😳
1498810203583619073,@ non_quiet_aus @ RoryBurnside @ COVID_Australia Thank input blind autistic son sitting room getting anxious stuff control . I live increasing level anxiety .
1498810201121636353,@ J0hnny3ravo @ ColinAMc342 @ corimomma75 They worked . This one . Did see 8 pages side effects covid jab Pfizer doc  Why did Pfizer fail so much? Did they not verify Pfizer ? When will Pfizer pay and why? Today Pfizer has spoilt and killed.
1498810200647737348,@ JLeiper I watched last public health meeting I problem measures compared countries failed mitigating covid . You emulate winners losers .
1498810199729225730,@ dzoolander85 Well damn ’ say covid two years ago 🤬
1498810198730985472,Here Great Lakes naval base mask mandates officially removed today . Covid face masks optional . Thank Jesus
1498810193890758658,@ TeaPainUSA @ piniosd Ukraine & gt ; fighting stay alive free . Trucker convoy fighting free Covid mandates/restrictions meant keep people alive. Blueprint is not given. Blueprint need us🙄
1498810193487941633,Whoa @ enterprise true ? Imma going talk company people thing use car rentals . Of course COVID went WAY nows time switch . https : //t.co/jAsyBKzchT
1498810180397637633,@ AkiraCali @ hyperbolicluda @ WalshFreedom If think one benefited COVID naive
1498810179852255237,@ davidahinojosa @ jasonkilar You n't get TSC hashtags got Covid shut new film production WB desperate content put HBO Max . They used subscriber bait underpeformed . It n't new beginning THE END . https : //t.co/WVZkqAMPK1
1498810173770678277,@ Bloodscarecrow1 last time covid ?
1498810170729803780,@ DMancabelli @ orchazsm @ GFunk421 @ castman39 @ MLBPA_News @ MLBPA @ PELOTEROS_MLB @ MLB The Pirates made $ 116 million Covid season . I ’ sure fans siding owners . https : //t.co/T3Vau4vL4G
1498810166392889345,Need escape CoVid world ? Try A Second Kiss Christmas https : //t.co/Eugipxlmu3 @ Annie_Acorn – standalone full-length novel # LunaLakeCabins # Christmas # Romance # SecondChances # Amazon # Kindle # Nook # Walmart # Kobo # BookBoost # Bookclub # IARTG # SWRTG # WowBooks https : //t.co/0Bgi9U9k3S
1498810162358140928,Clarification : I dont covid- PM . I edited statement clarity Covid is not what i want Covid sucks .
1498810161724641283,@ tearsforfears Receiving listening album great ! Simply fantastic ! first moment pure joy last 5 months since I lost beloved father covid thanks TFF !
1498810160935890949,Mark McGowan ’ strict new Covid rules come effect Western Australia https : //t.co/fTzaadvl7n
1498810152522338306,# SOTU @ POTUS @ JoeBiden @ VP IN 1Yr CREATED : -EnergyCrisis -EconomicCrisis -CrimeCrisis-BorderCrisis -NationalSecurity Crisis-Covid FAILURE @ TheDemocrats @ TheDemCoalition @ UsCongressnews1 @ AP @ MSNBC @ CBSPolitics @ NBCPolitics @ ABCPolitics @ nypost @ nytpolitics @ latimespolitics https : //t.co/EmNAZ8I97w
1498810148520869891,@ drunk_theo Bought tickets . No desire go game . We ’ fought Covid 2 yrs . Now Ukraine & amp ; gas prices . Thanks overpaid entitled killjoy players & amp ; owners . I want money back . Give refunds questions asked . # MLBGivemearefund # MLBnorainchecksgiverefunds
1498810141889630209,@ JoyAnnReid Probably COVID right .
1498810141877145602,While distracted everything ever said COvid 19 # CovidVaccine people behind true . https : //t.co/yEA1HZqpqJ
1498810137984835585,@ GovKathyHochul Shouldn ’ focused sending new Covid guidance promised today ?
1498810136407719937,About 2 years ago group built table run dnd intention streaming . COVID hit quarantined 2 weeks . We resumed games enough time decided soon . Just got almost stream equipment might & lt ; 30 days away https : //t.co/wKd9lY0atj
1498810132129808385,@ EndAllMandates Yeah . It ’ manager ’ discretion never asked ( 3 weeks one died yet ) . She also worried covid ; probably getting orders someone . I hope easier PCR test . Ugh
1498810131152347136,I 'll Sim State The Union nobody watch . I Joe Biden Dems defeared COVID . I nominated super qualified African American SCOTUS . And infrastructure bill build back better plan awesome must pass BBB .
1498810130502144002,I like covid . Did anyone bother telling covid ?
1498810130497871872,@ RellNice12 I know everybody got COVID-19 STD boat trip .
1498810124730781699,Since start COVID I tested twice . Who NEVEr taken/gotten COVID test ?
1498810123082416132,@ unwoke_13 @ RamaXMustGo @ ScottGottliebMD President Biden given credit one thing Leader Free World fight Covid many times .
1498810120809111554,Nearly 90 % COVID patients n't get critical care therapy needed died despite young healthy study says - USA TODAY https : //t.co/u199cOJhS4
1498810116220534786,We need : Disease : COVID-19 check.Infected humans : checkAnimals infect humans : 🤔Where animals ? No animals ? What got ? Worobey : We evidence `` live animals including racoon dogs sold market '' .They infected ? `` No '' .
1498810115184635906,Worobey 's wet market preprint making rounds convincing NYT Science `` case closed '' origin # Covid zoonosis game town.Let 's take look.Zoonosis : `` disease transmitted humans animals '' .OK lets start .
1498810113334956035,@ smarticus33 @ ezekielbaye @ JE72899169 @ covid_clarity Merica fuck yeah ! !
1498810103440588802,@ News12LI Please stop covid shit already . It 's done move fuc !
1498810102597312513,My second anniversary J weekend . We dinner reservations first restaurant went together covid hit.Today mask mandates lifted early someone immunosuppressed 's sad I 'm debating whether even go .
1498810095660109830,Are going tell Tommy ’ okay… . # Tommyinnit https : //t.co/SnYo1X7jBr
1498810087875305476,Owner beloved Dayton Ohio restaurant died COVID-19 https : //t.co/63xLrrTGlV https : //t.co/Q8jber17kU
1498810086264737794,Kaiser Foundation : The Impact COVID-19 Recession Medicaid Coverage Spending https : //t.co/lQusxcaz8T @ KFF https : //t.co/DeualeAmtW
1498810079864365061,@ SenJohnBarrasso @ SenateGOP @ JoeBiden Republican Members Congress saying ’ attend State Union “ ’ time ” get COVID test showing paperwork negative test “ Marxist. ” I wish parody . Alas ’ GOP Gang Putin . Digusting .
1498810078589329413,COVID really gave Phantosmia I hate 😭
1498810078459162624,Immunocompromised Americans feel left behind loosening COVID safety rules https : //t.co/IGkn33miHM https : //t.co/rSqGMvJNDk
1498810078261956609,@ vaeatonga1 @ nzherald Who want work live lives giving zero fucks COVID vulnerable people including immunocompromised children .
1498810077511393285,@ Robbiej34 @ GingerMEdwin @ rorishaywood @ ctvedmonton MSM n't scare COVID Dead family waste air .
1498810075988652033,And pandemic carried 1000000 people EVERY day ! The 'Line 2 COVID Conduit ' I called . https : //t.co/dAC1hr03dw
1498810075217027077,@ bkudeki China Taiwan top head . Like truly walking around safe . I 'm sure 's couple others . And 's authoritarian 's cooperation - know test trace isolate get rid COVID like 've small outbreaks .
1498810071156871169,Recall Trump ‘ brief ’ bout Covid leading election.Just saying ! # auspol
1498810069370253313,@ Charge_Right @ backtolife_2022 In fact health congressmen barred attending state union address tonight unless takes covid test . Sick proven healthy ? Guilty proven innocent .
1498810069118377986,@ nickysiemens13 And n't shit . I seen live simulation masks ca n't work covid ev3n n95 .
1498810067755302914,Alright Twitter Fam ’ ’ opinion taking Covid-19 Booster shot ? If ’ reaction ? Let know comments .
1498810066589433861,Given us know anything 's going # RussiaUkraineI think would wise listen smart enough analyse evidenceLet 's repeat # Brexit # Trump # COVID - divide media lieshttps : //t.co/3fgcpboZjQ
1498810065402404866,@ repkevinhern @ GOPLeader In state GOP sitting billions COVID relief dollars say rainy day fund important supporting small businesses hurt pandemic .
1498810064257404931,@ BrianNiemeier Outside Christ driven revival ’ definitely hopeless . Over last days I ’ watched people Covid skeptics happily lap war milk . And fast & amp ; pray . It ’ always way .
1498810063875624964,Unknown risks 12 % efficacy among control group 99.99 % survival . They want madate this.🤯🤥 https : //t.co/JoMc8F7BK4
1498810063800213512,“ We predict future COVID-19 . We know tomorrow going bring COVID-19 . '' https : //t.co/ClEFxX43HR
1498810063041011714,Watch live : Covid Minister Chris Hipkins reveal latest figures Omicron outbreakhttps : //t.co/TVQzRTqH8U
1498810062017544193,Predictions SOTU : Ukraine : I ’ tough sanctions Inflation : Covid ’ faultCrime : Covid ’ FaultBorder : 🚫🚫🚫🚫Created jobs great job Covid I nominated Black Women SCOTUSWe need sacrifice greater good
1498810058796371972,@ hydralicaquapon @ tr6_guy @ JustinTrudeau Do work healthcare ? social services ? law enforcement ? military ? These groups mandatory vaccination covid . Why ? Because high risk groups accelerate transmission . I 'd argue people cross border 3 times week fit description well .
1498810057441509379,Scotty From Marketing Suddenly Tests Positive To Covid Just As All The Hard Work Begins — The Betoota Advocate https : //t.co/0aYcKx3q42
1498810054425804801,7 Day Covid Growth Deaths per 1K Population County For CO 2022-02-25 : Latest Covid Insights Our Analytics Team using USAFacts # datavisualization # datascience # analytics # healthtech # data # covid19 # publichealth # covid # globalhealth # RStats https : //t.co/f819XACxt6
1498810054291574784,I 'm hoping test comes back negative . If 's positive makes sense head 's dizzy last couple days . If I n't covid 's lack nutrients eating recommended calorie intake lolol
1498810052425125888,@ RonniSalt @ SenatorHume Thousands people Aust Covid Morrison one . He mentioned Covid infection rate death rate weeks . He ’ care .. I ’ wish anything . He needs call election ASAP .
1498810047706677253,Before COVID Country flourishing . Unemployment historic low every American starting thrive & amp ; OPTIMISM spreading like wildfire throughout Country . Tax cuts prison reform trade deals getting countries pay fair share ...
1498810045877870603,He take credit 6 million jobs . People getting BACK work Covid new job neither openings came people refusing chemical injection . Negative . They ’ never let Trump take credit something like either .
1498810045533876225,@ perthnow fuck COVID old news get .
1498810045324275713,CO2 war civil rights covid . https : //t.co/zvnVZoyr1F
1498810039980728321,someone mom works came work covid mom take rapid tests week & gt ; : ( hopefully come back negative
1498810039326453765,@ AOC Biden caused everyday prices go ! How high gas prices shutting oil natural gas Ect.While giving thumbs Russian pipelines . For blowing covid crap two years.Lock downs maskvaccine mandate 's n't work.Letting millions illegals
1498810037875068929,No rooms bc hospital full . Still heart arrhythmias sending ER 2 years since COVID infection . dx POTS Cardiomyopathy SVT / Arrhythmia Electrolyte imbalances Mast Cell Activation PTSD . There “ moving life ” w/ # LongCovid . https : //t.co/m9XdMSxkFl
1498810035115331589,Sad day baseball ! Two years Covid followed this… . SMH
1498810031961219072,@ tmrvel teste covid
1498810030254006276,@ Harmony_J_C Thank I think I got covid Gold Coast many people wear masks I wore mask I ’ bad symptoms I triple vacs
1498810023958310913,@ MacFarlaneNews @ UROCKlive1 20 % basic common sense intelligence . Hmmm ... I 'd really like bit higher % representatives make laws . Ya think . They read covid damages brains ❤s erect functioning male organs ? Vacines n't work well Omicron ? Hmmm..
1498810020284497920,@ Farinances Ivermectin works actually works . Not covid . Not viruses . Even team nobel prize Ivermectin would n't agree .
1498810016798855170,Covid red pedofiles never warrented sick old bastard rapist peach crown mother converted used red pedoile old Jad
1498810016366678016,All 12 % Pfizer vaccine 12 % effective kids omicron surge : study https : //t.co/3yz2LmvHOP
1498810010301775876,@ HouseGOP Republican Members Congress saying ’ attend State Union “ ’ time ” get COVID test showing paperwork negative test “ Marxist. ” I wish parody . Alas ’ GOP Gang Putin . Digusting .
1498810009773301760,@ imTulip @ word_scribbler He got covid ☹️ appeared via video .
1498810006925307904,@ Dave_Kotlan @ MayorSpokane The ICUs 90 % many months per DOH data hardly rising delta omicron peaks . Currently 17 % ICU patients COVID . Studies & amp ; data never supported mask mandates anywhere . Sadly put wringer agenda science .
1498810006761836549,@ angrybklynmom I remember early April 2020 seeing people going parks ( even big crowds ) screaming social media selfish grandma killers . Stuff like that.My embarrassment 2020 self I remain skeptical Covid policy .
